Feature,CURIE,Definition,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,BRACE,OMOP,AMED,ALFA,API Generation 1,API Generation 2,GERAS-I,GERAS-US,GERAS-J,GERAS-II,PREVENT Dementia
Left Gyrus And Sulcus Frontomargin Volume From Qdec,,,,,,,,,(G_and_S_frontomargin)GrayVol,,,,,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,lh_G_and_S_frontomargin_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Occipital Inferior Volume From Qdec,,,,,,,,llinfogv,(G_and_S_occipital_inf)GrayVol,,,,,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_occipital_inf_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Paracentral Volume From Qdec,,,,,,,,,(G_and_S_paracentral)GrayVol,,,,,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_paracentral_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Subcentral Volume From Qdec,,,,,,,,,(G_and_S_subcentral)GrayVol,,,,,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_subcentral_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Transv Frontopol Volume From Qdec,,,,,,,,,(G_and_S_transv_frontopol)GrayVol,,,,,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_transv_frontopol_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Cingul-Ant Volume From Qdec,,,,,,,,,(G_and_S_cingul-Ant)GrayVol,,,,,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Ant_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec,,,,,,,,,(G_and_S_cingul-Mid-Ant)GrayVol,,,,,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,,,,,,,,,,,,,
Left Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec,,,,,,,,,(G_and_S_cingul-Mid-Post)GrayVol,,,,,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_and_S_cingul-Mid-Post_volume,,,,,,,,,,,,,
Left Gyrus Cingul-Post-dorsal Volume From Qdec,,,,,,,,,(G_cingul-Post-dorsal)GrayVol,,,,,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-dorsal_volume,,,,,,,,,,,,,
Left Gyrus Cingul-Post-ventral Volume From Qdec,,,,,,,,,(G_cingul-Post-ventral)GrayVol,,,,,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,lh_G_cingul-Post-ventral_volume,,,,,,,,,,,,,
Left Gyrus Frontal Inf-Opercular Volume From Qdec,,,,,,,,,(G_front_inf-Opercular)GrayVol,,,,,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Opercular_volume,,,,,,,,,,,,,
Left Gyrus Frontal Inf-Orbital Volume From Qdec,,,,,,,,,(G_front_inf-Orbital)GrayVol,,,,,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Orbital_volume,,,,,,,,,,,,,
Left Gyrus Frontal Inf-Triangul Volume From Qdec,,,,,,,,,(G_front_inf-Triangul)GrayVol,,,,,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,lh_G_front_inf-Triangul_volume,,,,,,,,,,,,,
Left Gyrus Frontal Middle Volume From Qdec,,,,,,,,lmfgyv,(G_front_middle)GrayVol,,,,,lh_G_front_middle_volume,lh_G_front_middle_volume,lh_G_front_middle_volume,lh_G_front_middle_volume,lh_G_front_middle_volume,lh_G_front_middle_volume,lh_G_front_middle_volume,,,,,,,,,,,,,
Left Gyrus Frontal Sup Volume From Qdec,,,,,,,,,(G_front_sup)GrayVol,,,,,lh_G_front_sup_volume,lh_G_front_sup_volume,lh_G_front_sup_volume,lh_G_front_sup_volume,lh_G_front_sup_volume,lh_G_front_sup_volume,lh_G_front_sup_volume,,,,,,,,,,,,,
Left Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec,,,,,,,,,(G_Ins_lg_and_S_cent_ins)GrayVol,,,,,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_Ins_lg_and_S_cent_ins_volume,,,,,,,,,,,,,
Left Gyrus Insular Short Volume From Qdec,,,,,,,,,(G_insular_short)GrayVol,,,,,lh_G_insular_short_volume,lh_G_insular_short_volume,lh_G_insular_short_volume,lh_G_insular_short_volume,lh_G_insular_short_volume,lh_G_insular_short_volume,lh_G_insular_short_volume,,,,,,,,,,,,,
Left Gyrus Occipital Middle Volume From Qdec,,,,,,,,llmoccgv,(G_occipital_middle)GrayVol,,,,,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,lh_G_occipital_middle_volume,,,,,,,,,,,,,
Left Gyrus Occipital Sup Volume From Qdec,,,,,,,,llsuogv,(G_occipital_sup)GrayVol,,,,,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,lh_G_occipital_sup_volume,,,,,,,,,,,,,
Left Gyrus Oc-temp Lat-fusifor Volume From Qdec,,,,,,,,,(G_oc-temp_lat-fusifor)GrayVol,,,,,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_lat-fusifor_volume,,,,,,,,,,,,,
Left Gyrus Oc-temp Med-Lingual Volume From Qdec,,,,,,,,,(G_oc-temp_med-Lingual)GrayVol,,,,,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Lingual_volume,,,,,,,,,,,,,
Left Gyrus Oc-temp Med-Parahip Volume From Qdec,,,,,,,,,(G_oc-temp_med-Parahip)GrayVol,,,,,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_oc-temp_med-Parahip_volume,,,,,,,,,,,,,
Left Gyrus Orbital Volume From Qdec,,,,,,,,,(G_orbital)GrayVol,,,,,lh_G_orbital_volume,lh_G_orbital_volume,lh_G_orbital_volume,lh_G_orbital_volume,lh_G_orbital_volume,lh_G_orbital_volume,lh_G_orbital_volume,,,,,,,,,,,,,
Left Gyrus Pariet Inf-Angular Volume From Qdec,,,,,,,,,(G_pariet_inf-Angular)GrayVol,,,,,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Angular_volume,,,,,,,,,,,,,
Left Gyrus Pariet Inf-Supramar Volume From Qdec,,,,,,,,,(G_pariet_inf-Supramar)GrayVol,,,,,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,lh_G_pariet_inf-Supramar_volume,,,,,,,,,,,,,
Left Gyrus Parietal Sup Volume From Qdec,,,,,,,,llsupalv,(G_parietal_sup)GrayVol,,,,,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,lh_G_parietal_sup_volume,,,,,,,,,,,,,
Left Gyrus Postcentral Volume From Qdec,,,,,,,,,(G_postcentral)GrayVol,,,,,lh_G_postcentral_volume,lh_G_postcentral_volume,lh_G_postcentral_volume,lh_G_postcentral_volume,lh_G_postcentral_volume,lh_G_postcentral_volume,lh_G_postcentral_volume,,,,,,,,,,,,,
Left Gyrus Precentral Volume From Qdec,,,,,,,,llprgv,(G_precentral)GrayVol,,,,,lh_G_precentral_volume,lh_G_precentral_volume,lh_G_precentral_volume,lh_G_precentral_volume,lh_G_precentral_volume,lh_G_precentral_volume,lh_G_precentral_volume,,,,,,,,,,,,,
Left Gyrus Precuneus Volume From Qdec,,,,,,,,,(G_precuneus)GrayVol,,,,,lh_G_precuneus_volume,lh_G_precuneus_volume,lh_G_precuneus_volume,lh_G_precuneus_volume,lh_G_precuneus_volume,lh_G_precuneus_volume,lh_G_precuneus_volume,,,,,,,,,,,,,
Left Gyrus Rectus Volume From Qdec,,,,,,,,llgyrrv,(G_rectus)GrayVol,,,,,lh_G_rectus_volume,lh_G_rectus_volume,lh_G_rectus_volume,lh_G_rectus_volume,lh_G_rectus_volume,lh_G_rectus_volume,lh_G_rectus_volume,,,,,,,,,,,,,
Left Gyrus Subcallosal Volume From Qdec,,,,,,,,,(G_subcallosal)GrayVol,,,,,lh_G_subcallosal_volume,lh_G_subcallosal_volume,lh_G_subcallosal_volume,lh_G_subcallosal_volume,lh_G_subcallosal_volume,lh_G_subcallosal_volume,lh_G_subcallosal_volume,,,,,,,,,,,,,
Left Gyrus Temp Sup-G T Transv Volume From Qdec,,,,,,,,,(G_temp_sup-G_T_transv)GrayVol,,,,,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-G_T_transv_volume,,,,,,,,,,,,,
Left Gyrus Temp Sup-Lateral Volume From Qdec,,,,,,,,,(G_temp_sup-Lateral)GrayVol,,,,,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Lateral_volume,,,,,,,,,,,,,
Left Gyrus Temp Sup-Plan Polar Volume From Qdec,,,,,,,,,(G_temp_sup-Plan_polar)GrayVol,,,,,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_polar_volume,,,,,,,,,,,,,
Left Gyrus Temp Sup-Plan Tempo Volume From Qdec,,,,,,,,,(G_temp_sup-Plan_tempo)GrayVol,,,,,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temp_sup-Plan_tempo_volume,,,,,,,,,,,,,
Left Gyrus Temporal Inferior Volume From Qdec,UBERON:0002751,,,,,,,,(G_temporal_inf)GrayVol,,,,,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,lh_G_temporal_inf_volume,,,,,,,,,,,,,
Left Gyrus Temporal Middle Volume From Qdec,,,,,,,,,(G_temporal_middle)GrayVol,,,,,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,lh_G_temporal_middle_volume,,,,,,,,,,,,,
Left Lat Fis-ant-Horizont Volume From Qdec,,,,,,,,,(Lat_Fis-ant-Horizont)GrayVol,,,,,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Horizont_volume,,,,,,,,,,,,,
Left Lat Fis-ant-Vertical Volume From Qdec,,,,,,,,,(Lat_Fis-ant-Vertical)GrayVol,,,,,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-ant-Vertical_volume,,,,,,,,,,,,,
Left Lat Fis-post Volume From Qdec,,,,,,,,,(Lat_Fis-post)GrayVol,,,,,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,lh_Lat_Fis-post_volume,,,,,,,,,,,,,
Left Sulcus Central Volume From Qdec,,,,,,,,,(S_central)GrayVol,,,,,lh_S_central_volume,lh_S_central_volume,lh_S_central_volume,lh_S_central_volume,lh_S_central_volume,lh_S_central_volume,lh_S_central_volume,,,,,,,,,,,,,
Left Sulcus Cingul-Marginalis Volume From Qdec,,,,,,,,,(S_cingul-Marginalis)GrayVol,,,,,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,lh_S_cingul-Marginalis_volume,,,,,,,,,,,,,
Left Sulcus Circular Insula Anterior Volume From Qdec,,,,,,,,,(S_circular_insula_ant)GrayVol,,,,,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_ant_volume,,,,,,,,,,,,,
Left Sulcus Circular Insula Inferior Volume From Qdec,,,,,,,,,(S_circular_insula_inf)GrayVol,,,,,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_inf_volume,,,,,,,,,,,,,
Left Sulcus Circular Insula Sup Volume From Qdec,,,,,,,,,(S_circular_insula_sup)GrayVol,,,,,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,lh_S_circular_insula_sup_volume,,,,,,,,,,,,,
Left Sulcus Collat Transv Anterior Volume From Qdec,,,,,,,,,(S_collat_transv_ant)GrayVol,,,,,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_ant_volume,,,,,,,,,,,,,
Left Sulcus Collat Transv Posterior Volume From Qdec,,,,,,,,,(S_collat_transv_post)GrayVol,,,,,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,lh_S_collat_transv_post_volume,,,,,,,,,,,,,
Left Sulcus Frontal Inferior Volume From Qdec,,,,,,,,,(S_front_inf)GrayVol,,,,,lh_S_front_inf_volume,lh_S_front_inf_volume,lh_S_front_inf_volume,lh_S_front_inf_volume,lh_S_front_inf_volume,lh_S_front_inf_volume,lh_S_front_inf_volume,,,,,,,,,,,,,
Left Sulcus Frontal Middle Volume From Qdec,,,,,,,,,(S_front_middle)GrayVol,,,,,lh_S_front_middle_volume,lh_S_front_middle_volume,lh_S_front_middle_volume,lh_S_front_middle_volume,lh_S_front_middle_volume,lh_S_front_middle_volume,lh_S_front_middle_volume,,,,,,,,,,,,,
Left Sulcus Frontal Sup Volume From Qdec,,,,,,,,,(S_front_sup)GrayVol,,,,,lh_S_front_sup_volume,lh_S_front_sup_volume,lh_S_front_sup_volume,lh_S_front_sup_volume,lh_S_front_sup_volume,lh_S_front_sup_volume,lh_S_front_sup_volume,,,,,,,,,,,,,
Left Sulcus Interm Prim-Jensen Volume From Qdec,,,,,,,,,(S_interm_prim-Jensen)GrayVol,,,,,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,lh_S_interm_prim-Jensen_volume,,,,,,,,,,,,,
Left Sulcus Intrapariet And P Trans Volume From Qdec,,,,,,,,,(S_intrapariet_and_P_trans)GrayVol,,,,,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_intrapariet_and_P_trans_volume,,,,,,,,,,,,,
Left Sulcus Oc Middle And Lunatus Volume From Qdec,,,,,,,,,(S_oc_middle_and_Lunatus)GrayVol,,,,,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_middle_and_Lunatus_volume,,,,,,,,,,,,,
Left Sulcus Oc Sup And Transversal Volume From Qdec,,,,,,,,,(S_oc_sup_and_transversal)GrayVol,,,,,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc_sup_and_transversal_volume,,,,,,,,,,,,,
Left Sulcus Occipital Anterior Volume From Qdec,,,,,,,,,(S_occipital_ant)GrayVol,,,,,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,lh_S_occipital_ant_volume,,,,,,,,,,,,,
Left Sulcus Oc-temp Lat Volume From Qdec,,,,,,,,,(S_oc-temp_lat)GrayVol,,,,,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_lat_volume,,,,,,,,,,,,,
Left Sulcus Oc-temp Med And Lingual Volume From Qdec,,,,,,,,,(S_oc-temp_med_and_Lingual)GrayVol,,,,,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_oc-temp_med_and_Lingual_volume,,,,,,,,,,,,,
Left Sulcus Orbital Lateral Volume From Qdec,,,,,,,,lllatogv,(S_orbital_lateral)GrayVol,,,,,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,lh_S_orbital_lateral_volume,,,,,,,,,,,,,
Left Sulcus Orbital Med-olfact Volume From Qdec,,,,,,,,,(S_orbital_med-olfact)GrayVol,,,,,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital_med-olfact_volume,,,,,,,,,,,,,
Left Sulcus Orbital-H Shaped Volume From Qdec,,,,,,,,,(S_orbital-H_Shaped)GrayVol,,,,,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,lh_S_orbital-H_Shaped_volume,,,,,,,,,,,,,
Left Sulcus Parieto Occipital Volume From Qdec,,,,,,,,,(S_parieto_occipital)GrayVol,,,,,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,lh_S_parieto_occipital_volume,,,,,,,,,,,,,
Left Sulcus Pericallosal Volume From Qdec,,,,,,,,,(S_pericallosal)GrayVol,,,,,lh_S_pericallosal_volume,lh_S_pericallosal_volume,lh_S_pericallosal_volume,lh_S_pericallosal_volume,lh_S_pericallosal_volume,lh_S_pericallosal_volume,lh_S_pericallosal_volume,,,,,,,,,,,,,
Left Sulcus Postcentral Volume From Qdec,,,,,,,,,,,,,,lh_S_postcentral_volume,lh_S_postcentral_volume,lh_S_postcentral_volume,lh_S_postcentral_volume,lh_S_postcentral_volume,lh_S_postcentral_volume,lh_S_postcentral_volume,,,,,,,,,,,,,
Left Sulcus Precentral-inf-part Volume From Qdec,,,,,,,,,(S_precentral-inf-part)GrayVol,,,,,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-inf-part_volume,,,,,,,,,,,,,
Left Sulcus Precentral-sup-part Volume From Qdec,,,,,,,,,(S_precentral-sup-part)GrayVol,,,,,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,lh_S_precentral-sup-part_volume,,,,,,,,,,,,,
Left Sulcus Suborbital Volume From Qdec,,,,,,,,,(S_suborbital)GrayVol,,,,,lh_S_suborbital_volume,lh_S_suborbital_volume,lh_S_suborbital_volume,lh_S_suborbital_volume,lh_S_suborbital_volume,lh_S_suborbital_volume,lh_S_suborbital_volume,,,,,,,,,,,,,
Left Sulcus Subparietal Volume From Qdec,,,,,,,,,(S_subparietal)GrayVol,,,,,lh_S_subparietal_volume,lh_S_subparietal_volume,lh_S_subparietal_volume,lh_S_subparietal_volume,lh_S_subparietal_volume,lh_S_subparietal_volume,lh_S_subparietal_volume,,,,,,,,,,,,,
Left Sulcus Temporal Inferior Volume From Qdec,,,,,,,,,(S_temporal_inf)GrayVol,,,,,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,lh_S_temporal_inf_volume,,,,,,,,,,,,,
Left Sulcus Temporal Sup Volume From Qdec,,,,,,,,llstpgv,(S_temporal_sup)GrayVol,,,,,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,lh_S_temporal_sup_volume,,,,,,,,,,,,,
Left Sulcus Temporal Transverse Volume From Qdec,,,,,,,,llttgv,(S_temporal_transverse)GrayVol,,,,,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,lh_S_temporal_transverse_volume,,,,,,,,,,,,,
Left WhiteSurfArea Area From Qdec,,,,ST28SA,,,,,,,,ST28SA,,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,lh_WhiteSurfArea_area,,,,,,,,,,,,,
Left Banks Of The Superior Temoral Sulcus Meancurv From Qdec,UBERON:0028622,,,,,,,,lh_(bankssts)MeanCurv,,,,,lh_bankssts_meancurv,lh_bankssts_meancurv,lh_bankssts_meancurv,lh_bankssts_meancurv,lh_bankssts_meancurv,lh_bankssts_meancurv,lh_bankssts_meancurv,,,,,,,,,,,,,
